input_size,divide_and_conquer,brute_force
3135,0.000098482,0.003821989
3140,0.000097988,0.003833158
3145,0.000098640,0.003847821
3150,0.000097913,0.003865832
3155,0.000098742,0.003871728
3160,0.000098804,0.003881914
3165,0.000099234,0.003894169
3170,0.000099107,0.003906393
3175,0.000099290,0.003920394
3180,0.000099399,0.003931176
3185,0.000099725,0.003945765
3190,0.000099727,0.003955576
3195,0.000100724,0.003968953
3200,0.000099792,0.004026147
3205,0.000100860,0.004123343
3210,0.000101411,0.004111909
3215,0.000101171,0.004117861
3220,0.000101699,0.004154722
3225,0.000101494,0.004120257
3230,0.000101084,0.004056971
3235,0.000101730,0.004067559
3240,0.000102047,0.004080015
3245,0.000103138,0.004092520
3250,0.000102458,0.004106976
3255,0.000102602,0.004117961
3260,0.000102310,0.004130264
3265,0.000102869,0.004235102
3270,0.000103162,0.004255562
3275,0.000103153,0.004292298
3280,0.000107913,0.004235886
3285,0.000104095,0.004195752
3290,0.000103844,0.004206413
3295,0.000104180,0.004219092
3300,0.000102824,0.004235511
3305,0.000103239,0.004247362
3310,0.000103276,0.004257433
3315,0.000103292,0.004270161
3320,0.000103897,0.004285562
3325,0.000103549,0.004322282
3330,0.000104148,0.004309849
3335,0.000104850,0.004321631
3340,0.000104055,0.004340123
3345,0.000106549,0.004347410
3350,0.000105466,0.004360440
3355,0.000106604,0.004375255
3360,0.000104877,0.004386358
3365,0.000106726,0.004399397
3370,0.000105573,0.004412373
3375,0.000106817,0.004430144
3380,0.000106342,0.004439729
3385,0.000106772,0.004451637
3390,0.000106408,0.004475774
3395,0.000107149,0.004477855
3400,0.000107268,0.004492115
3405,0.000106623,0.004507465
3410,0.000107910,0.004520266
3415,0.000107581,0.004531459
3420,0.000107708,0.004544393
3425,0.000107852,0.004558725
3430,0.000107293,0.004571137
3435,0.000107857,0.004618087
3440,0.000108096,0.004605572
3445,0.000109822,0.004618390
3450,0.000107679,0.004631662
3455,0.000107593,0.004644528
3460,0.000108049,0.004650152
3465,0.000108983,0.004663785
3470,0.000108793,0.004677762
3475,0.000109002,0.004693168
3480,0.000108160,0.004707540
3485,0.000108617,0.004717993
3490,0.000109245,0.004732666
3495,0.000109283,0.004753761
3500,0.000109002,0.004758824
3505,0.000109315,0.004774095
3510,0.000108977,0.004785836
3515,0.000109245,0.004802180
3520,0.000109530,0.004815093
3525,0.000109697,0.004826646
3530,0.000109608,0.004866695
3535,0.000110181,0.004941598
3540,0.000110716,0.004967724
3545,0.000110721,0.004910780
3550,0.000109516,0.004895059
3555,0.000115744,0.004908915
3560,0.000110146,0.004922477
3565,0.000110855,0.004936263
3570,0.000110496,0.004957385
3575,0.000110499,0.004963754
3580,0.000110805,0.004980809
3585,0.000111903,0.004993317
3590,0.000111451,0.005005793
3595,0.000112086,0.005019352
3600,0.000111404,0.005043153
3605,0.000113068,0.005047340
3610,0.000113236,0.005063811
3615,0.000112785,0.005077742
3620,0.000113501,0.005089092
3625,0.000113671,0.005102989
3630,0.000113329,0.005145400
3635,0.000114306,0.005131890
3640,0.000114331,0.005148198
3645,0.000113731,0.005187346
3650,0.000115231,0.005173482
3655,0.000116497,0.005187649
3660,0.000115598,0.005203506
3665,0.000116064,0.005215813
3670,0.000116788,0.005230129
3675,0.000116145,0.005248820
3680,0.000116092,0.005259405
3685,0.000116396,0.005274805
3690,0.000116626,0.005286856
3695,0.000118159,0.005308963
3700,0.000117171,0.005317399
3705,0.000116586,0.005333469
3710,0.000117291,0.005344631
3715,0.000118343,0.005361171
3720,0.000117480,0.005372963
3725,0.000118130,0.005388205
3730,0.000118206,0.005403591
3735,0.000118301,0.005419657
3740,0.000118926,0.005456919
3745,0.000120819,0.005447129
3750,0.000119258,0.005460556
3755,0.000119090,0.005474248
