input_size,divide_and_conquer,brute_force
16560,0.000574930,0.106128346
16590,0.000577640,0.106596651
16620,0.000580164,0.107309512
16650,0.000583637,0.107912288
16680,0.000583536,0.107565698
16710,0.000587104,0.109089871
16740,0.000591775,0.108396681
16770,0.000592095,0.108737143
16800,0.000590223,0.109299040
16830,0.000619407,0.109567000
16860,0.000592727,0.110225094
16890,0.000594151,0.110567937
16920,0.000598357,0.110900917
16950,0.000597551,0.111073021
16980,0.000598273,0.111944329
17010,0.000604575,0.115863398
17040,0.000607601,0.112333891
17070,0.000605946,0.113008019
17100,0.000605286,0.113099667
17130,0.000605090,0.113735508
17160,0.000610049,0.114444724
17190,0.000608934,0.114785167
17220,0.000610005,0.114634586
17250,0.000608693,0.115849895
17280,0.000610142,0.115432687
17310,0.000610886,0.116111272
17340,0.000613305,0.116231605
17370,0.000611688,0.116872452
17400,0.000611302,0.117298673
17430,0.000614930,0.119764556
17460,0.000623729,0.117864815
17490,0.000621818,0.118252432
17520,0.000623431,0.118949331
17550,0.000625839,0.121101742
17580,0.000632332,0.121598794
17610,0.000632528,0.121498186
17640,0.000631413,0.120590771
17670,0.000629733,0.121135589
17700,0.000630936,0.121664833
17730,0.000632405,0.121739327
17760,0.000633277,0.122341096
17790,0.000634958,0.122378945
17820,0.000633731,0.123230910
17850,0.000633817,0.123173164
17880,0.000634300,0.124291621
17910,0.000636587,0.124318294
17940,0.000639567,0.124937223
17970,0.000637264,0.125889340
18000,0.000640684,0.125745261
18030,0.000639323,0.125734439
18060,0.000639090,0.126470792
18090,0.000639106,0.126567359
18120,0.000640419,0.127492020
18150,0.000641892,0.129571025
18180,0.000643087,0.128400722
18210,0.000643035,0.128201264
18240,0.000649854,0.128797643
18270,0.000643528,0.130188933
18300,0.000648694,0.129470578
18330,0.000646853,0.130151486
18360,0.000644070,0.130546604
18390,0.000643706,0.130972790
18420,0.000642364,0.131186927
18450,0.000643852,0.132284121
18480,0.000648249,0.132042117
18510,0.000649161,0.132665616
18540,0.000653069,0.132888809
18570,0.000653228,0.133505276
18600,0.000656433,0.134034853
18630,0.000658721,0.134494854
18660,0.000660709,0.134735908
18690,0.000665605,0.135558517
18720,0.000663826,0.135702640
18750,0.000664762,0.135914446
18780,0.000664120,0.136536967
18810,0.000664647,0.137086722
18840,0.000668436,0.137475155
18870,0.000672440,0.137636473
18900,0.000677292,0.138286316
18930,0.000670703,0.138558696
18960,0.000671571,0.139475477
18990,0.000674967,0.139623357
19020,0.000676159,0.140068787
19050,0.000675981,0.140560325
19080,0.000675482,0.140729951
19110,0.000679584,0.142164758
19140,0.000683810,0.141640954
19170,0.000681402,0.142300761
19200,0.000682043,0.142960595
19230,0.000710846,0.143377498
19260,0.000684543,0.143672856
19290,0.000686004,0.143876288
19320,0.000688421,0.146448137
19350,0.000689834,0.144786316
19380,0.000686705,0.145470119
19410,0.000689705,0.146290970
19440,0.000691406,0.146542733
19470,0.000690532,0.146935753
19500,0.000690823,0.147171997
19530,0.000693338,0.147966480
19560,0.000690614,0.148131740
19590,0.000695293,0.148352397
19620,0.000698667,0.149004863
19650,0.000695895,0.149459050
19680,0.000697114,0.150565166
19710,0.000702781,0.150741831
19740,0.000699328,0.150653982
19770,0.000698963,0.151232155
19800,0.000699417,0.151565604
19830,0.000726582,0.152305453
19860,0.000724997,0.153104854
19890,0.000701720,0.153002234
19920,0.000706139,0.153543295
19950,0.000702366,0.154041781
19980,0.000703385,0.154283195
20010,0.000705050,0.154959528
20040,0.000703030,0.155333007
